station_name,trigram,uic_code,latitude,longitude
Abancourt,ABT,87313759,49.6852237,1.7743058
Abbaretz,AAR,87481614,47.5546432,-1.5244159
Abbeville,ABB,87317362,50.10221,1.82449
Ablon-sur-Seine,ABL,87545269,48.725468,2.419151
Achères Grand Cormier,GCR,87386052,48.9551835,2.0919031
Achères Ville,ACW,87381657,48.97011,2.07739
Achiet-le-Grand,ACT,87342048,50.1317525,2.780168
Aéroport Charles de Gaulle 1,RSY,87271460,49.00956,2.56135
Aéroport Charles de Gaulle 2 TGV,RYT,87271494;87001479,49.003652,2.570892
Agay,AGH,87757559,43.4313701,6.8564997
Agde,AGD,87781278,43.31728,3.466203
Agen,AGN,87586008,44.208311,0.620932
Agonac,AGA,87595157,45.2865966,0.7486706
Aguilcourt - Variscourt,AGK,87171702,49.408017,3.973137
Aigrefeuille le Thou,AGR,87485193,46.09402,-0.95168
Aiguebelette-le-Lac,AGQ,87741421,45.5363048,5.8131468
Aiguebelle,AEB,87741256,45.5437225,6.3067175
Aigueperse,AGE,87734129,46.0147884,3.1982621
Aigues-Mortes,AIM,87775858,43.5709008,4.1912102
Aiguillon,AIN,87586693,44.2987224,0.3352388
Aillevillers,AIP,87185629,47.9138876,6.3372988
Ailly-sur-Noye,ASN,87313221,49.75448,2.36419
Ailly-sur-Somme,AYS,87313098,49.92838,2.20059
Aimargues,AIA,87775833,43.6786107,4.2082933
Aime - La Plagne,ANJ,87741769,45.5544,6.648646
Aiserey,ASI,87713636,47.170501,5.1582447
Aix-en-Provence,AXP,87751404,43.522912,5.445345
Aix-en-Provence TGV,AXV,87319012,43.455237,5.317534
Aix-les-Bains le Revard,AIX,87741132,45.688161,5.909371
Aixe-sur-Vienne,ASV,87592667,45.7965002,1.1456892
Alaï,ALA,87722744,45.7521198,4.7717824
Albens,ABN,87746115,45.785946,5.9483418
Albert,ALJ,87313072,50.00546,2.64453
Albertville,ALV,87741645,45.672977,6.383167
Albi,ALB,87615005,43.92238,2.137958
Albi Madeleine,ALM,87615195,43.938011,2.1409629
Albias,ALE,87613398,44.0919078,1.4448012
Albigny - Neuville,VVN,87721266,45.874921,4.832874
Alençon,ALN,87444711,48.433884,0.098531
Alès,ALS,87775288,44.127825,4.084948
Allassac,AAA,87594234,45.2589385,1.4731471
Allée de la Tour Rendez-Vous,AET,87113878,48.897109,2.506475
Allée Royale,AYL,87710913,48.81431,2.07827
Allenc,AEN,87783654,44.541296,3.6638926
Alleyras,AES,87731885,44.919217,3.673517
Altkirch,ALK,87182238,47.6270174,7.2392493
Amagne - Lucquy,AMA,87172262,49.5238187,4.4738775
Ambazac,ABZ,87592311,45.9529056,1.406501
Ambérieu-en-Bugey,AMB,87743716,45.954008,5.342388
Amboise,AMQ,87574343,47.42148,0.981299
Ambronay - Priay,AAI,87743146,46.0115941,5.3382579
Amiens,AMS,87313874,49.890746,2.312592
Amifontaine,AMF,87171744,49.4847322,3.9105811
Amilly Ouerray,AMY,87394205,48.4381825,1.3892882
Amplepuis,AMP,87721035,45.970982,4.326844
Ancenis,ANC,87481192,47.369334,-1.177763
Anchamps,ACP,87172858,49.9307448,4.6702434
Anché - Voulon,ACV,87575332,46.3496187,0.2503424
Ancy-sur-Moselle,AYM,87192419,49.0575093,6.0627661
Andelot-en-Montagne,AND,87715102,46.8594671,5.923584
Andorre – l’Hospitalet,LHT,87611517,42.5894535,1.8002635
Andrésy,ACY,87381491,48.9747,2.04928
Andrézieux-Bouthéon,ANZ,87726406,45.5217037,4.254834
Angers Maître École,AME,87484048,47.4670899,-0.531894
Angers Saint-Laud,ASL,87484006,47.464647,-0.55682
Angerville,AGV,87543090,48.3112062,2.0034931
Angoulême,ANG,87583005,45.653572,0.164608
Angoulins sur Mer,AOM,87485102,46.108057,-1.1154503
Anizy - Pinon,API,87296566,49.4960073,3.4487637
Annappes,ANP,87286856,50.6227708,3.1475351
Annecy,ANY,87746008,45.901965,6.121835
Annemasse,ANE,87745497,46.199222,6.23652
Anor,ANO,87295055,49.984892,4.0929803
Anse Halte,AHA,87721324,45.93929,4.71987
Anthéor Cap Roux,AHC,87757567,43.4349641,6.8921036
Antibes,ATB,87757674,43.585784,7.119498
Anvin,ANV,87317255,50.446845,2.25494
Apach,APJ,87191643,49.458836,6.371972
Appilly,APP,87296459,49.5808826,3.1221903
Arbanats,ABH,87582726,44.6743555,-0.3954517
Arbois,AOI,87718155,46.912509,5.7648273
Arc-et-Senans,ACA,87718841,47.0303516,5.7767843
Arcachon,ARC,87582668,44.659009,-1.16523
Arches,ARH,87144410,48.1198133,6.5283085
Arcy-sur-Cure,ACU,87683680,47.6008461,3.7668885
Arenc Euroméditerranée,AEM,87580340,43.3132339,5.3676221
Arengosse,ARO,87671479,44.0069764,-0.8093835
Argelès-sur-Mer,AMR,87784231,42.54397,3.022349
Argentan,ARG,87444539,48.738545,-0.025291
Argenteuil,ARW,87381848,48.94686,2.25727
Argentière,AGI,87746859,45.9819438,6.9264844
Argenton-sur-Creuse,AGC,87597120,46.592248,1.518305
Arles,ARS,87753657,43.684853,4.63203
Arleux,ARX,87345421,50.2863204,3.1208073
Armentières,ARM,87286146,50.68084,2.87763
Arnage,AAG,87396549,47.9285663,0.1898826
Arnèke,ARN,87281121,50.831522,2.4083063
Arpajon,ARP,87545467,48.58617,2.24112
Arras,ARR,87342014,50.286673,2.781942
Arrou,AOU,87394486,48.0997945,1.1285567
Ars-sur-Moselle,ASM,87192401,49.0744745,6.0776461
Artenay,ATY,87543058,48.0808761,1.8833705
Artix,ATI,87672212,43.3931062,-0.5701881
Arvant,ARV,87734251,45.3653797,3.3106747
Ascq,ASC,87286864,50.6218591,3.1598992
Asnières-sur-Seine,AEE,87381137,48.9058,2.28324
Aspres-sur-Buëch,ASH,87763250,44.519428,5.7545655
Assat,ATK,87672162,43.2543993,-0.2950176
Assier,AER,87613075,44.6746197,1.8697681
Athis-Mons,ATH,87545251,48.712557,2.403749
Aubagne,AUB,87751750,43.296045,5.56658
Aubazines - Saint-Hilaire,ABA,87594465,45.1816781,1.6412346
Aubergenville Élisabethville,AEH,87386730,48.971825,1.8484987
Aubiat,AUK,87734111,45.983812,3.1605115
Aubie - Saint-Antoine,ATX,87491233,45.0151419,-0.4198843
Aubiet,AIT,87611764,43.6502068,0.7891179
Aubigné-Racan,ABG,87396572,47.686945,0.2657714
Aubigny-au-Bac,AAB,87345447,50.2685315,3.158706
Aubigny-en-Artois,ABI,87342246,50.35297,2.5928045
Aubin,AVB,87613224,44.5272762,2.2393128
Aubin-Saint-Vaast,AUV,87316604,50.3946137,1.9705382
Auboué,ABE,87191684,49.216163,5.9714608
Aubrives,ARI,87172122,50.1044507,4.7616512
Aubusson,AOO,87597823,45.9596691,2.1617231
Auch,AUH,87611749,43.647488,0.596661
Auchy-lès-Hesdin,AHH,87317230,50.3963631,2.1022448
Audrieu,ADR,87444059,49.2161315,-0.5960138
Audruicq,ADQ,87281428,50.87567,2.07636
Audun-le-Roman,ALR,87194357,49.36682,5.89139
Auffay,AUF,87415158,49.716044,1.098441
Aulnat Aéroport,AUL,87562421,45.7920571,3.1614332
Aulnay-sous-Bois,ABM,87271411,48.93179,2.49431
Aulnoye-Aymeries,AYE,87295600,50.19749,3.84337
Aumale,AUM,87313767,49.7650371,1.7560425
Aumont-Aubrac,AAU,87783266,44.7181699,3.2835489
Auneau,AUN,87545657,48.4458242,1.77998
Auray,ARY,87476200,47.68022,-2.999995
Aurec-sur-Loire,AEC,87726760,45.3711611,4.1983439
Aurillac,AUC,87645002,44.921092,2.435655
Auterive,AIE,87611384,43.348993,1.468831
Auvers-sur-Oise,AUW,87276543,49.07062,2.17526
Auxerre Saint-Gervais,AUX,87683573,47.797645,3.58514
Auxonne,AXO,87713347,47.192663,5.37737
Avallon,AVA,87683789,47.4957553,3.9124463
Avenay,AAY,87171579,49.0647826,4.043689
Avenue du Président Kennedy Maison de Radio France,APK,87543207,48.853322,2.279969
Avenue Foch,AVF,87381038,48.870971,2.2756167
Avenue Henri Martin,AHM,87381046,48.8644077,2.272238
Avesnelles,AVS,87295725,50.1185513,3.9485876
Avesnes-sur-Helpe,AVN,87295733,50.12674,3.93295
Avignon Centre,AVI,87765008,43.9419,4.805281
Avignon TGV,AVV,87981902;87318964,43.921586,4.786079
Avignonet-Lauragais,AWG,87616011,43.3638769,1.7872687
Avion,AON,87342584,50.40723,2.83365
Avord,ADG,87576439,47.0349061,2.6523757
Avoudrey,AVO,87718551,47.1298359,6.434573
Avranches,AVR,87448514,48.6902445,-1.3700755
Avrechy,AVY,87313296,49.4446439,2.4179608
Ax-les-Thermes,AXN,87611533,42.7247967,1.8332516
Ay,AYN,87171561,49.0487318,4.0015644
Aytré Plage,ATL,87437806,46.1273815,-1.1280462
Azay-le-Rideau,AZR,87571638,47.2663383,0.4475388
Azay-sur-Cher,EUR,87574442,47.3652695,0.8599885
Azerailles,AZE,87141408,48.4913355,6.695778
Babinière,BBR,87590349,47.25875274,-1.544928378
Baccarat,BAC,87141416,48.452405,6.74383
Bagnac-sur-Célé,BAG,87613604,44.6652105,2.1602503
Bagneaux-sur-Loing,BXN,87684191,48.2304802,2.7033327
Bagnols - Chadenet,BCT,87783647,44.5286125,3.628178
Bagnols-sur-Cèze,BSC,87764571,44.161626,4.627032
Baillargues,BGU,87773457,43.6533234,4.0071585
Bailleau-le-Pin,BAP,87394411,48.3668028,1.3248851
Bailleul,BIU,87286179,50.72916,2.73445
Bailleul-Sir-Berthoult,BSH,87342592,50.3351257,2.8409809
Bailly,BLY,87710780,48.837331,2.073981
Bains-les-Bains,BNS,87144147,47.9811282,6.2952683
Baisieux,BAI,87286872,50.61845,3.2347796
Balagny Saint-Épin,BXE,87313569,49.2942448,2.3441977
Balbigny,BBY,87726869,45.817858,4.187443
Ballan-Miré,BME,87571604,47.3369919,0.6188975
Ballancourt-sur-Essonne,BUR,87681437,48.532114,2.371274
Balsièges,BKB,87111864,44.4820108,3.4560976
Banassac - La Canourgue,BAA,87783324,44.4477632,3.1958518
Bandol,BND,87755223,43.140344,5.750118
Bannalec,BNC,87474189,47.9267473,-3.7065268
Bantzenheim,BTZ,87182840,47.8109675,7.5038675
Banyuls-sur-Mer,BAN,87784298,42.4829582,3.1250496
Bar-le-Duc,BLD,87175042,48.773308,5.166822
Bar-sur-Aube,BRB,87118299,48.2385399,4.7066708
Baraqueville Carcenac Peyralès,BAQ,87615757,44.2704368,2.4275453
Barentin,BTM,87411264,49.549123,0.953517
Barjac,BJC,87783563,44.4992638,3.4109786
Baroncourt,BTS,87192658,49.2845332,5.6997387
Barr,BAR,87214247,48.4032933,7.4565189
Barsac,BSQ,87582759,44.6054306,-0.3215775
Bartenheim,BTK,87182113,47.6349313,7.4872561
Bas - Monistrol-sur-Loire,BMO,87726778,45.297596,4.139602
Bas Évette,BEV,87184200,47.6810089,6.8068494
Base Aérienne,BAE,87699223,47.320184,1.681869
Basse-Ham,BHD,87191601,49.3805708,6.2348709
Bassens,BAS,87581850,44.9012933,-0.5223144
Batz-sur-Mer,BSK,87481770,47.2809541,-2.4789866
Baule,BLJ,87574152,47.8117535,1.668127
Baume-les-Dames,BDA,87718460,47.353937,6.359603
Bauvin - Provin,BVP,87345280,50.51168,2.9054
Bayeux,BAY,87444067,49.269836,-0.698056
Bayon,BYN,87141218,48.468046,6.322569
Bayonne,BYE,87673004,43.496801,-1.470306
Bazancourt,BZT,87171462,49.361202,4.173887
Baziège,BAZ,87611723,43.4535696,1.6205019
Béard,BVE,87696468,46.8652207,3.3179944
Beau Marais,BMQ,87317610,50.945371,1.8983301
Beaucaire,BCK,87775023,43.80209,4.6470865
Beaugency,BGY,87574160,47.778365,1.625938
Beaulieu-sur-Mer,BUM,87756379,43.706651,7.331545
Beaumont-le-Roger,BLR,87387183,49.0741722,0.7727865
Beaune,BEA,87713545,47.023053,4.848379
Beaurainville,BIV,87317198,50.422891,1.895345
Beautiran,BIR,87582700,44.701041,-0.45017
Beauvais,BVS,87313510,49.42648,2.08869
Beauvoir-sur-Niort,BVK,87485342,46.1768857,-0.4687544
Beauvoisin,BVW,87775809,43.7245026,4.3212178
Bécon les Bruyères,BEC,87382002,48.90592,2.26838
Bédarieux,BED,87781609,43.6086972,3.1495688
Bédarrides,BDR,87765198,44.0407636,4.8931321
Bedous,GGM,87672774,42.99589,-0.60348
Bègles,BGL,87581801,44.7995389,-0.5552495
Beillant,BIL,87491076,45.7007999,-0.5265079
Belfort,BFT,87184002,47.633284,6.853956
Belfort - Montbéliard TGV,BFB,87300822,47.585937,6.897687
Bellac,BLL,87592485,46.1252044,1.0461168
Belle-Isle - Bégard,BIB,87473165,48.5935901,-3.3228532
Bellegarde-sur-Valserine,BGD,87745000,46.109425,5.823483
Bellenaves,BLE,87641068,46.199256,3.0665239
Bellevigny,BVD,87486142,46.788316,-1.4346673
Belleville,BEE,87141804,48.8195721,6.1018641
Belleville sur Sâone,BVL,87721357,46.111917,4.729028
Bellevue,BLU,87393116,48.8190033,2.2296743
Bellignat,BNI,87743526,46.2381265,5.6298849
Belloy - Saint-Martin,BSW,87276550,49.09807,2.36135
Belvès,BES,87595876,44.7773978,1.0118831
Belvezet,BVZ,87783670,44.5617971,3.7518919
Belz - Ploemel,BZP,87476408,47.652466,-3.0721919
Bénesse-Maremne,BMX,87673285,43.6277484,-1.3698505
Bénestroff,BEN,87192302,48.90656,6.75266
Benfeld,BFD,87214122,48.3735367,7.584125
Bengy-sur-Craon,BNH,87576447,47.0004698,2.7492361
Béning-lès-Saint-Avold,BNG,87193250,49.1379541,6.8282982
Bergerac,BGC,87584268,44.857061,0.489174
Bergues,BEG,87281105,50.96901,2.42574
Berlaimont,BER,87295808,50.1980095,3.8105316
Bernay,BEY,87444299,49.087102,0.595634
Bersac-sur-Rivalier,BHA,87592352,46.0837459,1.4321682
Berthelming,BHN,87215335,48.8096475,7.0087859
Bertrichamps,BHZ,87141424,48.4283359,6.7912343
Bertry,BTD,87345553,50.0911265,3.4489955
Besançon Franche-Comté TGV,BFC,87300863,47.307361058531725,5.953195095062256
Besançon Mouillère,BNM,87718015,47.240372,6.03391
Besançon Viotte,BNV,87718007,47.247019,6.022003
Beslé,BIQ,87471219,47.6988788,-1.8706374
Bessancourt,BSR,87276642,49.03576,2.21004
Bessay-sur-Allier,BSS,87696336,46.4435849,3.3606477
Bétaille,BIK,87594747,44.9424281,1.7344108
Béthune,BET,87342006,50.52144,2.64055
Betton,BTN,87471045,48.1814803,-1.6344745
Beuvrages,BUS,87343160,50.3894892,3.5061396
Beuvry lès Béthune,BVR,87342402,50.5356021,2.6924093
Beynes,BYS,87393363,48.8593599,1.8755696
Beynost,BNO,87723544,45.833915,5.006969
Béziers,BZS,87781005,43.33633,3.218873
Biache-Saint-Vaast,BIA,87342097,50.3162525,2.9414975
Biarritz,BIZ,87673400,43.459397,-1.545915
Bibliothèque François Mitterrand,BFM,87328328,48.82984,2.37684
Bidarray Pont Noblia,PBJ,87673699,43.2682991,-1.3453233
Bidos,EON,87691949,43.17892,-0.6069
Bièvres,BSI,87393546,48.7513289,2.2157279
Biganos Facture,FAT,87582478,44.637384,-0.96621
Bigny,BIG,87576306,46.8015763,2.368638
Billy-Montigny,BYM,87345140,50.41556,2.91206
Biot,BJO,87757690,43.610951,7.12609
Bischheim,BHM,87212308,48.6118352,7.7422165
Bischoffsheim,BFH,87214296,48.48701,7.49772
Bischwiller,BHW,87213611,48.765753,7.8516536
Bitschwiller-lès-Thann,BWP,87182576,47.8273719,7.078514
Blainville - Damelevières,BLV,87141135,48.564971,6.386953
Blaisy-Bas,BSB,87713073,47.3734427,4.7410755
Blangy-sur-Bresle,BBM,87313809,49.9326071,1.6259074
Blangy-sur-Ternoise,BIP,87317248,50.424669,2.1721585
Blanquefort,BQF,87581728,44.917556,-0.62392
Blanzy,BYK,87694612,46.694064,4.3913585
Bléré - La Croix,BCX,87574475,47.3377228,0.9877583
Blois - Chambord,BLO,87574004,47.585445,1.323823
Blonville-sur-Mer - Benerville,BWB,87444380,49.3313919,0.0356856
Boën-sur-Lignon,BOE,87726471,45.7413612,4.0051544
Bogny-sur-Meuse,BYU,87172049,49.8583117,4.7632317
Bohain-en-Vermandois,BHI,87296269,49.9884143,3.4431289
Boigneville,BWI,87684407,48.342078,2.3789793
Bois-Colombes,BCO,87381079,48.91348,2.27256
Bois-d'Oingt - Légny,BDO,87721787,45.9065839,4.575043
Bois-le-Roi,BJR,87682203,48.475567,2.691606
Boisleux-au-Mont,BLX,87342071,50.2104665,2.771855
Boisseaux,BAX,87543082,48.2566238,1.9727681
Boisset,BCL,87645184,44.786038,2.2497669
Boissise-le-Roi,BKR,87682518,48.529319,2.572953
Boissy-l'Aillerie,BLA,87381152,49.07598,2.02513
Bollène La Croisière,BLN,87764357,44.271525,4.707908
Bollwiller,BOW,87182709,47.8569694,7.2672555
Bologne,BOG,87142224,48.1986877,5.1342228
Bondy,BDY,87113407,48.894208,2.4786
Bonnemain,BMV,87478065,48.4764049,-1.7654125
Bonneval,BOJ,87545731,48.1862958,1.3861845
Bonneville,BON,87746339,46.077772,6.416524
Bonnières-sur-Seine,BNR,87415893,49.038788,1.582205
Bons-en-Chablais,BAB,87745596,46.270046,6.366246
Bonson,BSN,87726414,45.5221941,4.2163084
Boran-sur-Oise,BRN,87276444,49.1671348,2.362537
Bordeaux Saint-Jean,BXJ,87581009,44.825873,-0.556697
Bords,BOR,87491019,45.8944625,-0.7985436
Bornel - Belle-Église,BBI,87276717,49.19471,2.20717
Bouaye,BLQ,87481200,47.1380806,-1.6810992
Boucau,BUU,87673095,43.5234217,-1.4905872
Bouchain,BAK,87345389,50.2780892,3.3319096
Boucoiran-et-Nozières,BKW,87775346,43.9926943,4.187634
Bouffémont - Moisselles,BOF,87276485,49.04514,2.32272
Bougival,BGV,87382440,48.8542135,2.1323749
Boulainvilliers,BWR,87543181,48.85645,2.275149
Boulazac,BZC,87725473,45.172291,0.772645
Boulogne Tintelleries,BKI,87317016,50.72729,1.60904
Boulogne-sur-Mer,BEM,87317586,50.7157,1.60964
Boulouris sur Mer,BOU,87757534,43.4163471,6.8082519
Bouray,BSO,87545178,48.533149,2.290596
Bourbourg,BBU,87281279,50.952267,2.1942305
Bourg-Bruche,BFZ,87214775,48.3598566,7.1371919
Bourg-en-Bresse,BGB,87743005,46.200351,5.215063
Bourg-Madame,BMD,87784876,42.4324069,1.9486704
Bourg-Saint-Maurice,BSM,87741793,45.619036,6.771273
Bourges,BGS,87576207,47.094145,2.394255
Bourgneuf-en-Retz,BGZ,87481242,47.0469634,-1.9551942
Bourgoin-Jallieu,BRG,87723429,45.583954,5.273401
Bourgtheroulde - Thuit-Hébert,BGT,87415323,49.3174381,0.8383198
Bournezeau,BNZ,87486324,46.6518258,-1.1806169
Bourron-Marlotte - Grez,BOM,87684118,48.3326884,2.6924552
Boussay - La Bruffière,BBF,87481176,47.0505741,-1.1828046
Boussens,BQY,87611095,43.179617,0.972543
Boussy-Saint-Antoine,BXI,87682138,48.680893,2.532726
Bouthéon,BOH,87726216,45.5246289,4.2777187
Boutigny-sur-Essonne,BJN,87681478,48.43495,2.37636
Boves,BOV,87313213,49.8462355,2.3981165
Bram,BRA,87615054,43.2441014,2.1191467
