S00001,je pars de parsi et je vais à montpellier.
S00002,Je Dois Rejoindre Le Havre En Partant De Dijon Avec Mon Ami Albert
S00003,Je veux aller de Moutpellier à Toulouuse via Riems
S00004,JE VEUX ALLER DE REIMS À GRENOBLE CE SOIR
S00005,Je veux aller de Diojn à Strasbourg
S00006,Je veux un billet.
S00007,Billet de Lyon a Toulouse
S00008,  DES TRAINS EN PARTANCE DE PARIS VERS MARSEEILLE 
S00009,Un ticket Nantes Bordeaux
S00010,jE pars de rennES eT JE vais à straSbourG!!!
S00011,réserver un train de marseille à strasourg pour demain
S00012,pour le Boulot: stRaSBourG -> lille
S00013,Je souhaite me rendre a Reims depuis Rnenes
S00014,Je voudrais aller de Dijon a Rennes
S00015,J'aime Clermont-Ferrand
S00016,des trains en partance de touulouse vers lyon
S00017,"Salut, je veux aller de Nimmes à Dijon stp ..."
S00018,Un ticket Le Havre Bordeaux
S00019,Comment aller de Strasbourg vers Monteellier ?.
S00020,Je veux aller de Montpellier à Lyon ce soir!!
S00021,Peux-tu m'aider ? ...
S00022,Bonjour
S00023,Je veux aller de Grenoble à Le Havre demain!!!
S00024,Je veux aller de Lille à Niimes lundi ?
S00025,je voudrais aller de lille a lyon en passant par renes
S00026,Je veux aller de Reims a L eHavre lundi
S00027,Je dois rejoindre Reims en partant de Marseille avec mon ami Albert
S00028,Pour le boulot: Dijon -> Reims
S00029,  je veux allEr de strasbOurg a mOntElLiEr demain
S00030,  Je pars de Loyn et je vais a Toulouae  
S00031,Je voudrais aller de Lille à Rennes
S00032,Aller à
S00033,Je voudrais aller de Le Havre à Grenable en passant par Lyon  
S00034,Je dois rejoindre Dijon en partant de Clermont-Ferrand avec mon ami Albert
S00035,pour lE boulot: touLLOn -> niicE
S00036,Je veux aller de Bordeaux à Montpellier 
S00037,je souhaite me rENDRe à saint-etienne DEpuis lyon 
S00038,  Je voudrais aller de Paris à Lyon 
S00039,"Salut, je veux aller de Loyn à Touyon stp"
S00040,JE VEUX ALLER DE SAINT-ETIENNE À ANGERRS VIA PARIS
S00041, Je pars
S00042,JE VOUDRAIS UN BILLET MARSEILLE-BORDEAUX
S00043,Je voudrais un billet Angers-Montpellier
S00044,Réserver un train de Saint-Etienne à Roims pour demain
S00045,Je Voudrais Aller De Marseille À Rems En Passant Par Clermont-Ferrand
S00046,Pour le boulot: Dijon -> Sain-tEtienne!!!
S00047,  je VoudrAis Un bIllet maRseille-remis  
S00048,Je pars de Rennes et je vais à Strasbourg
S00049,Je Veux Aller De Rennes A Reiims Ce Soir
S00050,  Comment aller de Toulon vers Renns ?
S00051,Je veux aller de Montpeller à Nimees ce soir
S00052,Je pars de Toulon et je vais à Maryeille
S00053,Je veux aller de Toulon à LeiHavre
S00054,Je voudrais aller de Reeims a Lyon
S00055,de à
S00056,Billet de Lile à Mareille ...
S00057,Peux-tu m'aider ?
S00058,TRaIn
S00059,Je voudrais aller de Angers à Rennes en passant par Reims
S00060,Billet de Nice à Montpellier  
S00061,"Salut, je veux aller de Marseille à Le Havre stp"
S00062,Merci beaucoup
S00063,DES TRAINS EN PARTANCE DE CLERMONT-FERRRAND VERS DIJON!!!
S00064,Je veux aller de Lyon à Angeers lundi  
S00065,"salut, je veux aller de le ahvre à toulon stp."
S00066,Je voudrais aller de Rennes à Nice
S00067,"Salut, Je Veux Aller De Reims A Lyon Stp"
S00068, comment aller de grenoale vers lyon ? 
S00069,Billet de Bordeux à Strsabourg
S00070, Billet de Clermont-Ferrand à Nice !!
S00071,Je veux aller de Lyon à Clermont-Ferrand lundi
S00072,Comment aller de Bordeaux vers Toulouse ?
S00073,  Je Veux Aller De Clermont-Ferrand À Lille Ce Soir 
S00074,Je souhaite me rendre à Borddeaux depuis Clermont-Ferrand
S00075,JE SOUHAITE ME RENDRE À BORDEAUX DEPUIS NICE.
S00076,J'aime Marseille
S00077,billet dE clermoNT-fErand À BordEaux
S00078,Je pars de Saint-Etienen et je vais à Lon.
S00079,Comment aller de Dijon vers Agners ?
S00080,Je veux aller de Reynes à Le Havre ce soir
S00081,Train !!!
S00082,JE VEUX ALLER DE NIMES À NIE
S00083,JE VEUX ALLER DE TOULOUSE À NANTES DEMAIN!!!
S00084,Je veux aller de Marseille à Grenoble lundi
S00085,Un ticket Le Havre Lyno
S00086,avec mes amis florence et paris je mange une pizza
S00087,Je dois rejoindre Paris en partant de Llile avec mon ami Albert
S00088,jE voudraIS aller de lYon a niimes eN Passant pAr BordeAux
S00089,Aller à
S00090,Je voudrais un billet Dijon-Monpellier
S00091,Je voudrais aller de Nantes a Nimes
S00092,Je veux aller demain
S00093,je veux Aller de gRenoblE A saINt-etenne CE soiR
S00094,AVEC MES AMIS FLORENCE ET PARIS JE MANGE UNE PIZZA ...
S00095,Je voudrais aller de Rennes à Nimes en passant par Nice
S00096, Je pars de Paris et je vais a Toulon 
S00097,Pour le boulot: Nantes -> Le Havre
S00098,Je veux aller De dijon à nice ce soir ?
S00099,Je voudrais aller de Toulon a Marseille
S00100,Peux-tu m'aider ?.
S00101,un ticket toulouse saint-etienne
S00102,Je Voudrais Aller De Angers À Touoln En Passant Par Bordeaix
S00103,Je pars.
S00104,  je veux aller de strasboourg à pairs lundi  
S00105,Je veux aller de Rennes à Marsille ce soir
S00106,Je dois rejoindre Lyon en partant de Clermont-Ferrand avec mon ami Albert
S00107,Je veuX un bilLeT ?
S00108,Je veux aller demain
S00109,je veux aller de saint-etiene à reims lundi
S00110,Je pars de Le Havre et je vais à Djion
S00111,Je Veux Aller De Toulouse À Strasbourg Lundi
S00112,Billet de Nice à Strasbourg!!!
S00113,Je veux aller de Toulon à Touleuse lundi
S00114,Je veux aller de Dijon a Le Havre via Nimees
S00115,Je veux aller demain
S00116,Je voudrais un billet Toulon-Nntes
S00117,Avec mes amis florence et paris je mange une pizza
S00118,Reserver Un Train De Marseille A Toulon Pour Demain
S00119,Je veux aller de Nantes à Nicce lundi
S00120,un ticket bordeaux dijon
S00121,  Je voudrais aller de Strasbaurg à Lyon  ...
S00122,je voudrais aller de dijon à rennes en passant par paris
S00123,je souhaite me rendre à montpellier depuis grenoble
S00124, je veux aller demain  
S00125, Je pars de Maraeille et je vais à Angers
S00126,Un ticket Saint-Etienne Lyon
S00127,Je veux aller de Lon à Angars
S00128,Peux-tu m'aider ?.
S00129,je VeUx allEr de bOreDaux a saINt-etienne Ce soir
S00130,des trains en partance de strasbourg vers nice
S00131,Pour le boulot: Rennnes -> Lyn
S00132,JE VEUX ALLER DE LE HAVRE À DIJON CE SOIR
S00133,Je pars !!!
S00134,je dois rejoindre clermont-ferrand en partant de nimes avec mon ami albert
S00135,Aller à
S00136, Aller à  .
S00137,Je veux aller de Strasboueg a Angers via Lille
S00138,Réserver un train de Le Harve à Saint-tienne pour demain
S00139,Je dois rejoindre Grenoble en partant de Marseille avec mon ami Albert
S00140,Aller à!!!
S00141, Pour le boulot: Lile -> Dijon  
S00142,Pour le boulot: Toluon -> Le  Havre
S00143,Merci beaucoup!!!
S00144,Je pars de Nantse et je vais a Le Hvare
S00145,  Billet de Clermont-Ferrand à Le Havre 
S00146,"Salut, je veux aller de Angers a Marseille stp"
S00147,Des Trains En Partance De Saint-Etienne Vers Toulon
S00148,Je souhaite me rendre à Reims depuis Lyon
S00149,Train
S00150,Je suis à la maison
S00151,Je souhaite me rendre a Lillle depuis Rennes!!!
S00152,MERCI BEAUCOUP!!
S00153,  Je souhaite me rendre a Bordeaux depuis Le Haver ...
S00154, Je pars  
S00155,Comment Aller De Lyon Vers Marseille ?
S00156, RÉSERVER UN TRAIN DE RENNES À PARIS POUR DEMAIN  
S00157,biLLeT de parIs à grenoble
S00158," SALUT, JE VEUX ALLER DE TOUOLUSE A STRASBOURG STP  "
S00159,Billet de Montpellier a Lille
S00160,Je dois rejoindre Lyn en partant de Nimes avec mon ami Albert ?
